,Year,country code,Continent,CPI,date,depth,mag,mmi,Population density (people per sq. km of land area),Population growth (annual %),Population in largest city,Population in the largest city (% of urban population),"Population, total",Rural population,Rural population (% of total population),Urban population,Urban population (% of total population),Urban population growth (annual %),GDP (constant 2015 US$),GDP (current US$),GDP growth (annual %),GDP per capita (constant 2015 US$),country,Total Affected
775,2012,AZE,Asia,88.71096898,2012-05-18,18.1,5.1,5.712999999999999,112.460790244138,1.32876382733755,2129670,42.5181683529164,9295784,4286937,46.117,5008847,53.883,1.78634791175657,48289165892.6824,69683935845.2139,2.16523943012959,5192.99254371554,Azerbaijan,6949.0
776,2012,BGR,Europe,88.71096898,2012-05-22,10.0,5.6,6.869,67.2981577008106,-0.579220596364389,1236765,23.1974396564401,7305888,1974416,27.025,5331472,72.975,-0.116335428781667,48902782248.9232,54300857424.4415,0.754930385981893,6521.82023129136,Bulgaria,210.0
777,2012,CHL,Americas,88.71096898,2012-03-25,40.7,7.1,7.013,23.4023001027528,0.96307999965156,6369726,41.9856466189653,17400359,2229160,12.811,15171199,87.189,1.02847927811167,225178567814.854,267122320056.702,5.31862800041414,12941.0299991428,Chile,24297.0
778,2012,CRI,Americas,88.71096898,2012-09-05,35.0,7.6,7.172000000000001,91.8136114375245,1.17835234575071,1239145,35.745347518643,4688003,1221412,26.054,3466591,73.946,2.64691539286364,51310356970.7675,47231651862.8224,4.8825923686673,10945.0350118422,Costa Rica,762.0
779,2012,IDN,Asia,88.71096898,2012-08-18,10.0,6.3,7.647,137.147178414304,1.35169978721169,9841221,7.72489968119197,248451714,121055613,48.724,127396101,51.276,2.68870491926569,740537690664.799,917869910105.749,6.03005065305615,2980.61011028002,Indonesia,7883.0
780,2013,IDN,Asia,90.01044002,2013-07-02,10.0,5.3,,138.998390346495,1.34077086414715,9950619,7.60602690374062,251805314,120979863,48.045,130825451,51.955,2.65628613315295,781691322850.807,912524136718.018,5.5572636889101,3104.3479997837,Indonesia,55935.0
781,2013,IDN,Asia,90.01044002,2013-07-02,10.0,5.5,6.412000000000001,138.998390346495,1.34077086414715,9950619,7.60602690374062,251805314,120979863,48.045,130825451,51.955,2.65628613315295,781691322850.807,912524136718.018,5.5572636889101,3104.3479997837,Indonesia,55935.0
782,2013,IDN,Asia,90.01044002,2013-07-02,13.0,6.1,6.523,138.998390346495,1.34077086414715,9950619,7.60602690374062,251805314,120979863,48.045,130825451,51.955,2.65628613315295,781691322850.807,912524136718.018,5.5572636889101,3104.3479997837,Indonesia,55935.0
783,2013,IDN,Asia,90.01044002,2013-10-22,9.75,5.4,6.1370000000000005,138.998390346495,1.34077086414715,9950619,7.60602690374062,251805314,120979863,48.045,130825451,51.955,2.65628613315295,781691322850.807,912524136718.018,5.5572636889101,3104.3479997837,Indonesia,2738.0
784,2013,AFG,Asia,90.01044002,2013-04-24,63.8,5.5,4.507,49.4280427656772,3.49459192739625,3543232,45.0502398707805,32269592,24404524,75.627,7865068,24.373,4.37235419172966,18360253681.3442,20146404996.223,5.60074465808154,591.947068464406,Afghanistan,3531.0
785,2013,COL,Americas,90.01044002,2013-02-09,145.0,6.9,5.324,41.9067075259126,0.906920982436048,9169561,24.9445338401043,46495492,9735691,20.939,36759801,79.061,1.36330613922269,272783183252.052,382116126448.555,5.13399351995672,5866.87378750722,Colombia,10015.0
786,2013,GTM,Americas,90.01044002,2013-09-07,66.0,6.4,5.831,140.388027248973,1.75716769812924,2665488,35.9310718830919,15043981,7625644,50.689,7418337,49.311,2.38984372981724,57199529556.8023,52996540703.5943,3.69481919881751,3802.15380202902,Guatemala,572.0
787,2013,IND,Asia,90.01044002,2013-05-01,15.0,5.7,5.834,430.797264554233,1.18290421490412,24238725,5.91321241249647,1280842119,870934216,67.997,409907903,32.003,2.34261983514164,1813453059872.84,1856722121394.53,6.38610640094825,1415.8287215662,India,59350.0
788,2011,MEX,Americas,86.91246502,2011-12-11,59.0,6.5,7.237,59.5156603822115,1.39478996981758,20371749,22.5423802689908,115695468,25324581,21.889,90370887,78.111,1.7744572453399,1050086944297.42,1180489601957.61,3.66300792950094,9076.30145285741,Mexico,152.0
789,2011,PER,Americas,86.91246502,2011-10-28,10.0,5.6,6.504,22.8627453125,0.811896398192238,9091604,40.5487087603967,29264314,6842875,23.383,22421439,76.617,1.0562630633061,159810535617.601,171761737046.585,6.32719240161117,5460.93565075884,Peru,2681.0
790,2011,PER,Americas,86.91246502,2011-10-28,22.3,5.6,5.695,22.8627453125,0.811896398192238,9091604,40.5487087603967,29264314,6842875,23.383,22421439,76.617,1.0562630633061,159810535617.601,171761737046.585,6.32719240161117,5460.93565075884,Peru,2681.0
791,2011,PER,Americas,86.91246502,2011-10-28,24.0,6.9,6.981,22.8627453125,0.811896398192238,9091604,40.5487087603967,29264314,6842875,23.383,22421439,76.617,1.0562630633061,159810535617.601,171761737046.585,6.32719240161117,5460.93565075884,Peru,2681.0
792,2012,MMR,Asia,88.71096898,2012-11-11,28.4,5.5,5.303,78.7165321901554,0.826319491319885,4563564,30.3292661384191,51413703,36366969,70.734,15046734,29.266,1.48109375240638,52288474433.639,113590973920.203,6.48575400447614,936.059661971903,Myanmar,1486.0
793,2012,MMR,Asia,88.71096898,2012-11-11,6.0,5.8,7.381,78.7165321901554,0.826319491319885,4563564,30.3292661384191,51413703,36366969,70.734,15046734,29.266,1.48109375240638,52288474433.639,113590973920.203,6.48575400447614,936.059661971903,Myanmar,1486.0
794,2012,MMR,Asia,88.71096898,2012-11-11,13.7,6.8,5.523,78.7165321901554,0.826319491319885,4563564,30.3292661384191,51413703,36366969,70.734,15046734,29.266,1.48109375240638,52288474433.639,113590973920.203,6.48575400447614,936.059661971903,Myanmar,1486.0
795,2012,PHL,Asia,88.71096898,2012-02-06,10.0,5.3,,326.030918603481,1.70412578861596,12267444,27.6058499870448,97212639,52774797,54.288,44437842,45.712,2.1206381386484,253819067111.502,261920509949.785,6.89695171057481,2610.96776842689,Philippines,320277.0
796,2012,PHL,Asia,88.71096898,2012-02-06,15.0,5.8,6.336,326.030918603481,1.70412578861596,12267444,27.6058499870448,97212639,52774797,54.288,44437842,45.712,2.1206381386484,253819067111.502,261920509949.785,6.89695171057481,2610.96776842689,Philippines,320277.0
